date,Bendigo and Adelaide Bank Limited (ASX:BEN) - Share Pricing,Bendigo and Adelaide Bank Limited (ASX:BEN) - Daily Target Price (CIQ)
Apr-27-2020,5.68,6.9
Apr-28-2020,5.79,6.9
Apr-29-2020,6.04,6.9
Apr-30-2020,6.54,6.9
May-01-2020,6.01,6.9
May-04-2020,6.01,6.9
May-05-2020,6.14,6.9
May-06-2020,6.01,6.9
May-07-2020,5.92,6.9
May-08-2020,5.89,6.9
May-11-2020,6,6.9
May-12-2020,5.79,6.9
May-13-2020,5.66,6.9
May-14-2020,5.64,6.9
May-15-2020,5.7,6.9
May-18-2020,5.68,6.9
May-19-2020,5.77,6.9
May-20-2020,5.68,6.84
May-21-2020,5.64,6.68
May-22-2020,5.57,6.68
May-25-2020,5.6,6.68
May-26-2020,5.95,6.68
May-27-2020,6.29,6.68
May-28-2020,6.55,6.6
May-29-2020,6.15,6.6
Jun-01-2020,6.21,6.64
Jun-02-2020,6.46,6.64
Jun-03-2020,6.8,6.64
Jun-04-2020,6.99,6.64
Jun-05-2020,7.32,6.64
Jun-09-2020,8.01,6.89
Jun-10-2020,7.98,6.89
Jun-11-2020,7.57,6.89
Jun-12-2020,7.29,6.89
Jun-15-2020,6.99,6.89
Jun-16-2020,7.19,6.89
Jun-17-2020,7.14,6.89
Jun-18-2020,7.16,6.89
Jun-19-2020,7.13,6.89
Jun-22-2020,7.2,6.91
Jun-23-2020,7.06,6.91
Jun-24-2020,7.07,6.91
Jun-25-2020,6.84,6.91
Jun-26-2020,7.07,6.91
Jun-29-2020,6.96,6.91
Jun-30-2020,7.01,6.91
Jul-01-2020,7.07,6.91
Jul-02-2020,7.1,6.91
Jul-03-2020,7,6.91
Jul-06-2020,7.04,6.91
Jul-07-2020,6.93,6.91
Jul-08-2020,6.86,6.91
Jul-09-2020,6.9,6.91
Jul-10-2020,6.86,6.91
Jul-13-2020,6.96,6.91
Jul-14-2020,7.05,6.91
Jul-15-2020,7.02,6.91
Jul-16-2020,7.09,6.91
Jul-17-2020,7.15,6.91
Jul-20-2020,6.78,6.91
Jul-21-2020,7.13,6.91
Jul-22-2020,7.07,6.94
Jul-23-2020,7.14,6.94
Jul-24-2020,7.01,6.97
Jul-27-2020,6.94,6.97
Jul-28-2020,6.96,6.97
Jul-29-2020,7.02,7.01
Jul-30-2020,7.01,7.01
Jul-31-2020,6.88,7.01
Aug-03-2020,6.56,7.01
Aug-04-2020,6.77,7.01
Aug-05-2020,6.64,7.01
Aug-06-2020,6.68,7.01
Aug-07-2020,6.67,7.01
Aug-10-2020,6.86,6.99
Aug-11-2020,7.03,6.99
Aug-12-2020,7.15,6.99
Aug-13-2020,7.02,6.99
Aug-14-2020,7,6.99
Aug-17-2020,6.54,6.76
Aug-18-2020,6.38,6.76
Aug-19-2020,6.4,6.76
Aug-20-2020,6.45,6.76
Aug-21-2020,6.42,6.76
Aug-24-2020,6.37,6.75
Aug-25-2020,6.62,6.75
Aug-26-2020,6.49,6.75
Aug-27-2020,6.45,6.75
Aug-28-2020,6.51,6.75
Aug-31-2020,6.54,6.75
Sep-01-2020,6.33,6.75
Sep-02-2020,6.43,6.75
Sep-03-2020,6.53,6.75
Sep-04-2020,6.36,6.75
Sep-07-2020,6.39,6.75
Sep-08-2020,6.52,6.75
Sep-09-2020,6.38,6.75
Sep-10-2020,6.34,6.75
Sep-11-2020,6.24,6.75
Sep-14-2020,6.3,6.75
Sep-15-2020,6.15,6.75
Sep-16-2020,6.13,6.75
Sep-17-2020,6.13,6.75
Sep-18-2020,6.02,6.75
Sep-21-2020,5.95,6.75
Sep-22-2020,5.88,6.75
Sep-23-2020,6.05,6.75
Sep-24-2020,6.09,6.75
Sep-25-2020,6.38,6.75
Sep-28-2020,6.34,6.75
Sep-29-2020,6.2,6.75
Sep-30-2020,6.04,6.75
Oct-01-2020,6.14,6.75
Oct-02-2020,6,6.75
Oct-05-2020,6.33,6.75
Oct-06-2020,6.3,6.75
Oct-07-2020,6.37,6.75
Oct-08-2020,6.34,6.75
Oct-09-2020,6.36,6.75
Oct-12-2020,6.41,6.75
Oct-13-2020,6.59,6.75
Oct-14-2020,6.53,6.75
Oct-15-2020,6.69,6.75
Oct-16-2020,6.86,6.75
Oct-19-2020,6.87,6.8
Oct-20-2020,6.75,6.8
Oct-21-2020,6.75,6.8
Oct-22-2020,6.49,6.8
Oct-23-2020,6.63,6.8
Oct-26-2020,6.67,6.8
Oct-27-2020,6.82,6.86
Oct-28-2020,6.7,6.86
Oct-29-2020,6.56,6.86
Oct-30-2020,6.69,6.86
Nov-02-2020,6.78,6.88
Nov-03-2020,6.94,6.88
Nov-04-2020,6.83,6.88
Nov-05-2020,6.92,6.88
Nov-06-2020,6.91,6.88
Nov-09-2020,6.92,6.88
Nov-10-2020,7.21,6.88
Nov-11-2020,7.45,6.88
Nov-12-2020,7.4,6.88
Nov-13-2020,7.43,6.88
Nov-16-2020,7.67,6.98
Nov-17-2020,7.95,6.99
Nov-18-2020,8.3,6.99
Nov-19-2020,8.52,6.99
Nov-20-2020,8.51,6.99
Nov-23-2020,8.5,7.21
Nov-24-2020,8.8,7.21
Nov-25-2020,9.19,7.29
Nov-26-2020,9.12,7.29
Nov-27-2020,9.13,7.49
Nov-30-2020,8.9,7.66
Dec-01-2020,8.94,7.74
Dec-02-2020,8.99,7.74
Dec-03-2020,8.97,7.74
Dec-04-2020,9.24,7.74
Dec-07-2020,9.23,7.74
Dec-08-2020,9.2,7.74
Dec-09-2020,9.23,7.76
Dec-10-2020,9.25,7.76
Dec-11-2020,9.38,7.76
Dec-14-2020,9.5,7.76
Dec-15-2020,9.34,7.76
Dec-16-2020,9.34,7.76
Dec-17-2020,9.46,7.76
Dec-18-2020,9.36,7.76
Dec-21-2020,9.45,7.88
Dec-22-2020,9.43,7.88
Dec-23-2020,9.45,7.88
Dec-24-2020,9.48,7.88
Dec-29-2020,9.5,7.88
Dec-30-2020,9.49,7.88
Dec-31-2020,9.32,7.88
Jan-04-2021,9.45,7.88
Jan-05-2021,9.42,7.88
Jan-06-2021,9.4,7.88
Jan-07-2021,9.75,7.88
Jan-08-2021,9.76,7.88
Jan-11-2021,9.74,8.1
Jan-12-2021,9.77,8.1
Jan-13-2021,9.89,8.1
Jan-14-2021,9.86,8.1
Jan-15-2021,9.88,8.1
Jan-18-2021,9.68,8.19
Jan-19-2021,9.69,8.19
Jan-20-2021,9.69,8.26
Jan-21-2021,9.64,8.26
Jan-22-2021,9.57,8.32
Jan-25-2021,9.59,8.32
Jan-27-2021,9.69,8.32
Jan-28-2021,9.55,8.32
Jan-29-2021,9.2,8.32
Feb-01-2021,9.36,8.44
Feb-02-2021,9.41,8.44
Feb-03-2021,9.77,8.44
Feb-04-2021,9.78,8.44
Feb-05-2021,9.93,8.44
Feb-08-2021,9.85,8.44
Feb-09-2021,9.57,8.44
Feb-10-2021,9.65,8.44
Feb-11-2021,9.58,8.44
Feb-12-2021,9.49,8.44
Feb-15-2021,10.56,9.68
Feb-16-2021,11.28,9.68
Feb-17-2021,11.07,9.68
Feb-18-2021,10.35,9.68
Feb-19-2021,10.03,9.68
Feb-22-2021,9.87,9.81
Feb-23-2021,9.96,9.88
Feb-24-2021,9.91,9.88
Feb-25-2021,10.1,9.88
Feb-26-2021,9.77,9.88
Mar-01-2021,9.88,9.88
Mar-02-2021,9.97,9.88
Mar-03-2021,10.23,9.81
Mar-04-2021,10.25,9.81
Mar-05-2021,10.25,9.82
Mar-08-2021,10.31,9.82
Mar-09-2021,10.19,9.82
Mar-10-2021,10.13,9.82
Mar-11-2021,10.1,9.82
Mar-12-2021,10.02,9.82
Mar-15-2021,9.81,9.82
Mar-16-2021,9.82,9.82
Mar-17-2021,9.74,9.81
Mar-18-2021,9.6,9.81
Mar-19-2021,9.68,9.81
Mar-22-2021,9.77,9.81
Mar-23-2021,9.63,9.81
Mar-24-2021,9.6,9.81
Mar-25-2021,9.65,9.81
Mar-26-2021,9.86,9.81
Mar-29-2021,9.94,9.87
Mar-30-2021,9.89,9.87
Mar-31-2021,10.06,9.87
Apr-01-2021,9.97,9.87
Apr-06-2021,10.06,9.87
Apr-07-2021,10.11,9.87
Apr-08-2021,10.23,9.87
Apr-09-2021,10.22,9.87
Apr-12-2021,10.3,9.87
Apr-13-2021,10.19,9.87
Apr-14-2021,10.27,9.87
Apr-15-2021,10.39,9.87
Apr-16-2021,10.26,9.87
Apr-19-2021,10.33,9.87
Apr-20-2021,10.35,9.87
Apr-21-2021,10.32,9.87
Apr-22-2021,10.43,9.87
Apr-23-2021,10.59,9.87
Apr-26-2021,10.52,9.87
Apr-27-2021,10.48,9.87
Apr-28-2021,10.46,9.87
Apr-29-2021,10.41,9.87
Apr-30-2021,10.33,9.87
May-03-2021,10.52,9.87
May-04-2021,10.49,9.87
May-05-2021,10.47,9.87
May-06-2021,10.27,9.87
May-07-2021,10.33,9.87
May-10-2021,10.43,9.87
May-11-2021,10.39,9.87
May-12-2021,10.01,9.87
May-13-2021,10.18,9.87
May-14-2021,10.21,9.87
May-17-2021,10.29,9.87
May-18-2021,10.26,9.87
May-19-2021,10.11,9.87
May-20-2021,10.33,9.87
May-21-2021,10.28,9.87
May-24-2021,10.26,9.87
May-25-2021,10.38,9.87
May-26-2021,10.36,9.87
May-27-2021,10.24,9.88
May-28-2021,10.47,9.88
May-31-2021,10.35,9.88
Jun-01-2021,10.26,9.88
Jun-02-2021,10.36,9.88
Jun-03-2021,10.36,9.88
Jun-04-2021,10.89,9.98
Jun-07-2021,10.78,9.98
Jun-08-2021,10.72,9.98
Jun-09-2021,10.64,9.98
Jun-10-2021,10.54,9.98
Jun-11-2021,10.44,9.98
Jun-15-2021,10.47,9.98
Jun-16-2021,10.62,9.98
Jun-17-2021,10.81,9.98
Jun-18-2021,10.91,9.98
Jun-21-2021,10.33,9.98
Jun-22-2021,10.68,9.98
Jun-23-2021,10.44,10.1
Jun-24-2021,10.23,10.1
Jun-25-2021,10.35,10.1
Jun-28-2021,10.4,10.32
Jun-29-2021,10.52,10.32
Jun-30-2021,10.49,10.32
Jul-01-2021,10.3,10.32
Jul-02-2021,10.56,10.32
Jul-05-2021,10.35,10.32
Jul-06-2021,10.21,10.32
Jul-07-2021,10.18,10.32
Jul-08-2021,10.27,10.32
Jul-09-2021,10.21,10.32
Jul-12-2021,10.34,10.32
Jul-13-2021,10.33,10.32
Jul-14-2021,10.22,10.32
Jul-15-2021,10.12,10.32
Jul-16-2021,10.12,10.32
Jul-19-2021,10.11,10.38
Jul-20-2021,10.05,10.38
Jul-21-2021,10.21,10.38
Jul-22-2021,10.3,10.38
Jul-23-2021,10.25,10.38
Jul-26-2021,10.24,10.38
Jul-27-2021,10.28,10.38
Jul-28-2021,10.26,10.38
Jul-29-2021,10.3,10.38
Jul-30-2021,10.33,10.38
Aug-02-2021,10.53,10.38
Aug-03-2021,10.43,10.38
Aug-04-2021,10.45,10.38
Aug-05-2021,10.58,10.52
Aug-06-2021,10.64,10.52
Aug-09-2021,10.7,10.57
Aug-10-2021,10.84,10.57
Aug-11-2021,10.97,10.57
Aug-12-2021,11.01,10.57
Aug-13-2021,11.1,10.57
Aug-16-2021,10,10.65
Aug-17-2021,9.86,10.65
Aug-18-2021,9.95,10.65
Aug-19-2021,9.99,10.65
Aug-20-2021,9.8,10.65
Aug-23-2021,9.81,10.59
Aug-24-2021,9.9,10.59
Aug-25-2021,9.93,10.59
Aug-26-2021,9.99,10.59
Aug-27-2021,10.01,10.59
Aug-30-2021,10.07,10.59
Aug-31-2021,10.04,10.62
Sep-01-2021,10.12,10.62
Sep-02-2021,10.09,10.61
Sep-03-2021,9.94,10.61
Sep-06-2021,9.88,10.61
Sep-07-2021,9.78,10.61
Sep-08-2021,9.89,10.61
Sep-09-2021,9.62,10.61
Sep-10-2021,9.64,10.61
Sep-13-2021,9.56,10.61
Sep-14-2021,9.58,10.61
Sep-15-2021,9.5,10.61
Sep-16-2021,9.68,10.61
Sep-17-2021,9.61,10.61
Sep-20-2021,9.31,10.61
Sep-21-2021,9.24,10.61
Sep-22-2021,9.19,10.61
Sep-23-2021,9.35,10.61
Sep-24-2021,9.36,10.61
Sep-27-2021,9.49,10.61
Sep-28-2021,9.4,10.61
Sep-29-2021,9.26,10.61
Sep-30-2021,9.45,10.61
Oct-01-2021,9.31,10.61
Oct-04-2021,9.47,10.61
Oct-05-2021,9.37,10.61
Oct-06-2021,9.3,10.61
Oct-07-2021,9.45,10.61
Oct-08-2021,9.5,10.61
Oct-11-2021,9.53,10.61
Oct-12-2021,9.45,10.61
Oct-13-2021,9.31,10.61
Oct-14-2021,9.43,10.61
Oct-15-2021,9.43,10.61
Oct-18-2021,9.48,10.55
Oct-19-2021,9.34,10.55
Oct-20-2021,9.38,10.55
Oct-21-2021,9.41,10.55
Oct-22-2021,9.35,10.55
Oct-25-2021,9.37,10.55
Oct-26-2021,9.3,10.55
Oct-27-2021,9.38,10.55
Oct-28-2021,9.45,10.55
Oct-29-2021,9.25,10.55
Nov-01-2021,9.28,10.55
Nov-02-2021,9.13,10.55
Nov-03-2021,9.28,10.55
Nov-04-2021,9.42,10.55
Nov-05-2021,9.35,10.55
Nov-08-2021,9.38,10.55
Nov-09-2021,9.14,10.55
Nov-10-2021,9.22,10.55
Nov-11-2021,9.14,10.55
Nov-12-2021,9.12,10.55
Nov-15-2021,9.14,10.55
Nov-16-2021,9.06,10.55
Nov-17-2021,9.07,10.42
Nov-18-2021,8.95,10.42
Nov-19-2021,8.81,10.42
Nov-22-2021,8.73,10.42
Nov-23-2021,8.86,10.42
Nov-24-2021,8.91,10.38
Nov-25-2021,8.61,10.38
Nov-26-2021,8.53,10.35
Nov-29-2021,8.58,10.25
Nov-30-2021,8.57,10.25
Dec-01-2021,8.57,10.22
Dec-02-2021,8.49,10.22
Dec-03-2021,8.51,10.22
Dec-06-2021,8.53,10.22
Dec-07-2021,8.67,10.22
Dec-08-2021,8.72,10.22
Dec-09-2021,8.71,10.22
Dec-10-2021,8.77,10.22
Dec-13-2021,8.72,10.22
Dec-14-2021,8.8,10.22
Dec-15-2021,8.78,10.22
Dec-16-2021,8.71,10.22
Dec-17-2021,8.8,10.22
Dec-20-2021,8.82,10.22
Dec-21-2021,8.87,10.22
Dec-22-2021,8.91,10.22
Dec-23-2021,8.93,10.22
Dec-24-2021,9.04,10.22
Dec-29-2021,9.14,10.22
Dec-30-2021,9.15,10.22
Dec-31-2021,9.1,10.22
Jan-04-2022,9.3,10.22
Jan-05-2022,9.25,10.22
Jan-06-2022,9.07,10.22
Jan-07-2022,9.18,10.22
Jan-10-2022,9.24,10.22
Jan-11-2022,9.2,10.22
Jan-12-2022,9.12,10.22
Jan-13-2022,9.2,10.22
Jan-14-2022,9.18,10.22
Jan-17-2022,9.27,10.22
Jan-18-2022,9.33,10.22
Jan-19-2022,9.11,10.17
Jan-20-2022,9,10.16
Jan-21-2022,8.8,10.16
Jan-24-2022,8.78,10.2
Jan-25-2022,8.55,10.2
Jan-27-2022,8.57,10.2
Jan-28-2022,8.72,10.2
Jan-31-2022,8.58,10.2
Feb-01-2022,8.72,10.2
Feb-02-2022,8.78,10.2
Feb-03-2022,8.8,10.2
Feb-04-2022,8.83,10.21
Feb-07-2022,8.88,10.21
Feb-08-2022,9.05,10.21
Feb-09-2022,9.26,10.21
Feb-10-2022,9.29,10.21
Feb-11-2022,9.26,10.21
Feb-14-2022,9.67,10.33
Feb-15-2022,9.92,10.33
Feb-16-2022,10.07,10.33
Feb-17-2022,10.12,10.33
Feb-18-2022,10.12,10.33
Feb-21-2022,10.16,10.33
Feb-22-2022,10.09,10.33
Feb-23-2022,10.13,10.33
Feb-24-2022,9.89,10.33
Feb-25-2022,9.58,10.33
Feb-28-2022,9.61,10.33
Mar-01-2022,9.68,10.33
Mar-02-2022,9.45,10.33
Mar-03-2022,9.5,10.33
Mar-04-2022,9.6,10.33
Mar-07-2022,9.09,10.33
Mar-08-2022,9.08,10.29
Mar-09-2022,9.28,10.29
Mar-10-2022,9.6,10.29
Mar-11-2022,9.45,10.29
Mar-14-2022,9.75,10.35
Mar-15-2022,9.95,10.35
Mar-16-2022,9.98,10.35
Mar-17-2022,10.03,10.35
Mar-18-2022,10.1,10.35
Mar-21-2022,9.94,10.38
Mar-22-2022,10.06,10.38
Mar-23-2022,10.2,10.38
Mar-24-2022,10.13,10.38
Mar-25-2022,10.14,10.38
Mar-28-2022,10.21,10.38
Mar-29-2022,10.26,10.38
Mar-30-2022,10.3,10.38
Mar-31-2022,10.29,10.38
Apr-01-2022,10.29,10.38
Apr-04-2022,10.34,10.38
Apr-05-2022,10.31,10.38
Apr-06-2022,10.47,10.38
Apr-07-2022,10.42,10.38
Apr-08-2022,10.37,10.38
Apr-11-2022,10.48,10.47
Apr-12-2022,10.47,10.47
Apr-13-2022,10.5,10.47
Apr-14-2022,10.25,10.47
Apr-19-2022,10.54,10.47
Apr-20-2022,10.56,10.47
Apr-21-2022,10.79,10.47
Apr-22-2022,10.64,10.47
Apr-26-2022,10.61,10.47
Apr-27-2022,10.5,10.51
Apr-28-2022,10.58,10.51
Apr-29-2022,10.65,10.51
May-02-2022,10.6,10.51
May-03-2022,10.48,10.51
May-04-2022,10.56,10.51
May-05-2022,10.54,10.51
May-06-2022,10.46,10.51
May-09-2022,10.37,10.51
May-10-2022,10.28,10.51
May-11-2022,10.29,10.51
May-12-2022,10.15,10.51
May-13-2022,10.34,10.51
May-16-2022,10.39,10.51
May-17-2022,10.46,10.51
May-18-2022,10.48,10.51
May-19-2022,10.31,10.51
May-20-2022,10.36,10.51
May-23-2022,10.33,10.51
May-24-2022,10.55,10.51
May-25-2022,10.58,10.51
May-26-2022,10.52,10.51
May-27-2022,10.61,10.54
May-30-2022,10.67,10.54
May-31-2022,10.42,10.54
Jun-01-2022,10.5,10.54
Jun-02-2022,10.51,10.54
Jun-03-2022,10.68,10.54
Jun-06-2022,10.67,10.54
Jun-07-2022,10.57,10.54
Jun-08-2022,9.81,10.54
Jun-09-2022,9.48,10.54
Jun-10-2022,9.33,10.54
Jun-14-2022,9.03,10.54
Jun-15-2022,8.94,10.45
Jun-16-2022,8.85,10.45
Jun-17-2022,8.68,10.45
Jun-20-2022,8.73,10.45
Jun-21-2022,9.08,10.45
Jun-22-2022,9.17,10.45
Jun-23-2022,9.22,10.45
Jun-24-2022,9.06,10.32
Jun-27-2022,9.23,10.32
Jun-28-2022,9.33,10.32
Jun-29-2022,9.33,10.18
Jun-30-2022,9.07,10.18
Jul-01-2022,9.13,10.18
Jul-04-2022,9.23,10.18
Jul-05-2022,9.27,10.18
Jul-06-2022,9.27,10.18
Jul-07-2022,9.37,10.18
Jul-08-2022,9.36,10.18
Jul-11-2022,9.32,10.18
Jul-12-2022,9.46,10.18
Jul-13-2022,9.55,10.18
Jul-14-2022,9.63,10.18
Jul-15-2022,9.48,10.18
Jul-18-2022,9.7,10.18
Jul-19-2022,9.86,10.18
Jul-20-2022,10.1,10.18
Jul-21-2022,10.25,10.18
Jul-22-2022,10.3,10.18
Jul-25-2022,10.33,10.18
Jul-26-2022,10.25,10.18
Jul-27-2022,10.31,10.18
Jul-28-2022,10.18,10.18
Jul-29-2022,10.3,10.18
Aug-01-2022,10.48,10.24
Aug-02-2022,10.67,10.24
Aug-03-2022,10.56,10.24
Aug-04-2022,10.6,10.24
Aug-05-2022,10.6,10.24
Aug-08-2022,10.69,10.31
Aug-09-2022,10.54,10.31
Aug-10-2022,10.59,10.31
Aug-11-2022,10.72,10.31
Aug-12-2022,10.78,10.31
Aug-15-2022,9.88,9.95
Aug-16-2022,9.52,9.9
Aug-17-2022,9.61,9.79
Aug-18-2022,9.61,9.79
Aug-19-2022,9.57,9.79
Aug-22-2022,9.39,9.79
Aug-23-2022,9.15,9.79
Aug-24-2022,9.04,9.79
Aug-25-2022,9.04,9.79
Aug-26-2022,9.03,9.79
Aug-29-2022,8.87,9.83
Aug-30-2022,8.95,9.83
Aug-31-2022,9.04,9.83
Sep-01-2022,8.92,9.83
Sep-02-2022,8.97,9.83
Sep-05-2022,8.7,9.83
Sep-06-2022,8.58,9.83
Sep-07-2022,8.4,9.82
Sep-08-2022,8.54,9.82
Sep-09-2022,8.55,9.82
Sep-12-2022,8.67,9.82
Sep-13-2022,8.73,9.82
Sep-14-2022,8.43,9.82
Sep-15-2022,8.5,9.82
Sep-16-2022,8.5,9.82
Sep-19-2022,8.39,9.77
Sep-20-2022,8.53,9.77
Sep-21-2022,8.37,9.77
Sep-23-2022,8.18,9.71
Sep-26-2022,7.96,9.65
Sep-27-2022,8.03,9.65
Sep-28-2022,7.91,9.65
Sep-29-2022,7.96,9.65
Sep-30-2022,7.79,9.65
Oct-03-2022,7.85,9.65
Oct-04-2022,8.12,9.65
Oct-05-2022,8.25,9.65
Oct-06-2022,8.25,9.65
Oct-07-2022,8.18,9.58
Oct-10-2022,8.15,9.58
Oct-11-2022,8.18,9.58
Oct-12-2022,8.41,9.58
Oct-13-2022,8.45,9.58
Oct-14-2022,8.58,9.58
Oct-17-2022,8.58,9.59
Oct-18-2022,8.77,9.59
Oct-19-2022,8.75,9.59
