Date,12M Tgt. Price
4/29/2025,69.64
4/22/2025,69.64
4/15/2025,69.35
4/8/2025,74.08
4/1/2025,77.33
3/25/2025,77.33
3/18/2025,77.33
3/11/2025,77.33
3/4/2025,77.33
2/25/2025,77.33
2/18/2025,76.32
2/11/2025,70.02
2/4/2025,70.02
1/28/2025,70.02
1/21/2025,68.96
1/14/2025,61.94
1/7/2025,61.99
12/31/2024,61.8
12/24/2024,61.8
12/17/2024,61.8
12/10/2024,61.8
12/3/2024,61.8
11/26/2024,59.44
11/19/2024,59.2
11/12/2024,59.2
11/5/2024,59.2
10/29/2024,59.2
10/22/2024,59.2
10/15/2024,58.96
10/8/2024,50.78
10/1/2024,49.35
9/24/2024,49.85
9/17/2024,49.35
9/10/2024,49.05
9/3/2024,48.51
8/27/2024,48.51
8/20/2024,47
8/13/2024,44.75
8/6/2024,44.72
7/30/2024,44.72
7/23/2024,44.72
7/16/2024,43.85
7/9/2024,41.44
7/2/2024,41.32
6/25/2024,40.62
6/18/2024,40.62
6/11/2024,40.62
6/4/2024,40.62
5/28/2024,40.19
5/21/2024,40.19
5/14/2024,40.19
5/7/2024,40
4/30/2024,40
4/23/2024,40
4/16/2024,39.82
4/9/2024,39.07
4/2/2024,38.7
3/26/2024,38.7
3/19/2024,38.7
3/12/2024,38.7
3/5/2024,38.7
2/27/2024,38.7
2/20/2024,38.15
2/13/2024,36.53
2/6/2024,36.51
1/30/2024,36.51
1/23/2024,36.51
1/16/2024,36.14
1/9/2024,34.04
1/2/2024,33.83
12/26/2023,33.83
12/19/2023,33.83
12/12/2023,33.61
12/5/2023,33.61
11/28/2023,33.61
11/21/2023,33.23
11/14/2023,33.11
11/7/2023,33.11
10/31/2023,33.11
10/24/2023,33.15
10/17/2023,33.06
10/10/2023,32.41
10/3/2023,32.41
9/26/2023,32.41
9/19/2023,32.41
9/12/2023,32.71
9/5/2023,32.71
8/29/2023,32.71
8/22/2023,32.29
8/15/2023,30.68
8/8/2023,30.68
8/1/2023,29.98
7/25/2023,30.55
7/18/2023,30.5
7/11/2023,30.62
7/4/2023,30.93
6/27/2023,30.97
6/20/2023,30.97
6/13/2023,30.97
6/6/2023,30.97
5/30/2023,30.97
5/23/2023,30.97
5/16/2023,30.97
5/9/2023,30.97
5/2/2023,31.29
4/25/2023,31.29
4/18/2023,31.23
4/11/2023,31.09
4/4/2023,31.1
3/28/2023,31.22
3/21/2023,31.25
3/14/2023,31.28
3/7/2023,31.28
2/28/2023,31.28
2/21/2023,31.29
2/14/2023,30.46
2/7/2023,30.46
1/31/2023,30.44
1/24/2023,30.5
1/17/2023,29.47
1/10/2023,29.56
1/3/2023,29.44
12/27/2022,29.22
12/20/2022,29.22
12/13/2022,29.22
12/6/2022,29.55
11/29/2022,29.55
11/22/2022,29.55
11/15/2022,29.43
11/8/2022,29.43
11/1/2022,29.43
10/25/2022,29.43
10/18/2022,30.34
10/11/2022,29.38
10/4/2022,29.43
9/27/2022,29.64
9/20/2022,29.64
9/13/2022,29.64
9/6/2022,29.26
8/30/2022,29.26
8/23/2022,29.26
8/16/2022,28.91
8/9/2022,28.91
8/2/2022,28.83
7/26/2022,28.83
7/19/2022,28.83
7/12/2022,29.04
7/5/2022,29.09
6/28/2022,29.36
6/21/2022,29.36
6/14/2022,32.77
6/7/2022,32.77
5/31/2022,32.77
5/24/2022,32.77
5/17/2022,32.78
5/10/2022,32.78
5/3/2022,32.91
4/26/2022,32.82
4/19/2022,33.31
4/12/2022,33.8
4/5/2022,33.79
3/29/2022,33.91
3/22/2022,33.91
3/15/2022,33.91
3/8/2022,33.74
3/1/2022,33.74
2/22/2022,33.84
2/15/2022,33.25
2/8/2022,33.25
2/1/2022,33.29
1/25/2022,33.29
1/18/2022,33.3
1/11/2022,33.3
1/4/2022,33.3
12/28/2021,33.3
12/21/2021,33.3
12/14/2021,33.3
12/7/2021,33.3
11/30/2021,33.3
11/23/2021,34.11
11/16/2021,34.11
11/9/2021,34.11
11/2/2021,34.11
10/26/2021,34.11
10/19/2021,34.11
10/12/2021,30.48
10/5/2021,30.18
9/28/2021,30.55
9/21/2021,30.55
9/14/2021,30.55
9/7/2021,30.55
8/31/2021,30.48
8/24/2021,29.25
8/17/2021,28.89
8/10/2021,28.89
8/3/2021,28.89
7/27/2021,28.89
7/20/2021,28.77
7/13/2021,26.16
7/6/2021,26.16
6/29/2021,25.74
6/22/2021,25.27
6/15/2021,25.27
6/8/2021,25.27
6/1/2021,25.27
5/25/2021,25.27
5/18/2021,25.27
5/11/2021,25.16
5/4/2021,25.16
4/27/2021,25.16
4/20/2021,24.96
4/13/2021,24.34
4/6/2021,24.36
3/30/2021,24.29
3/23/2021,25.9
3/16/2021,25.9
3/9/2021,25.9
3/2/2021,25.9
2/23/2021,25.99
2/16/2021,25.6
2/9/2021,25.07
2/2/2021,25.07
1/26/2021,24.89
1/19/2021,24.61
1/12/2021,22.86
1/5/2021,22.67
12/29/2020,22.67
12/22/2020,22.67
12/15/2020,22.67
12/8/2020,22.67
12/1/2020,22.67
11/24/2020,22.67
11/17/2020,22.67
11/10/2020,22.67
11/3/2020,21.95
10/27/2020,19.79
10/20/2020,19.79
10/13/2020,18.76
10/6/2020,15.63
9/29/2020,15.46
9/22/2020,15.46
9/15/2020,15.46
9/8/2020,15.46
9/1/2020,15.46
8/25/2020,15.46
8/18/2020,13.48
8/11/2020,13.48
8/4/2020,13.48
7/28/2020,13.19
7/21/2020,13.19
7/14/2020,12.42
7/7/2020,12.49
6/30/2020,11.4
6/23/2020,11.4
6/16/2020,11.4
6/9/2020,11.4
6/2/2020,11.4
5/26/2020,11.4
5/19/2020,11.4
5/12/2020,11.4
5/5/2020,11.4
